#Vystupni charakteristika tranzistoru
#napeti Ud (V) proud Id (mA) napeti Ug (V)
14.899999999999963 44.708014 3.8
14.999999999999963 44.79375 3.8
15.099999999999962 44.839840200000005 3.8
15.199999999999962 44.8707436 3.8
15.299999999999962 44.9037111 3.8
15.399999999999961 44.981236700000004 3.8
15.499999999999961 45.0274852 3.8
15.59999999999996 45.114244 3.8
15.69999999999996 45.1525275 3.8
15.79999999999996 45.218795 3.8
15.89999999999996 45.2636697 3.8
15.99999999999996 45.3619987 3.8
16.09999999999996 45.3618771 3.8
16.19999999999996 45.440315600000005 3.8
16.29999999999996 45.5094222 3.8
16.399999999999963 45.5714125 3.8
16.499999999999964 45.5994125 3.8
16.599999999999966 45.6376891 3.8
16.699999999999967 45.7245901 3.8
16.79999999999997 45.7436023 3.8
16.89999999999997 45.828063199999995 3.8
16.99999999999997 45.8806942 3.8
